model,scheme,layer,resample,baseline_len,baseline_gsm8k,peak_len,peak_len_alpha,first_collapse_abs_alpha,gsm8k_safe_abs_alpha,residual_norm,parser,probe,run_tag
Meta-Llama-3.1-8B-Instruct,fp16,16,1,180.0,0.875,338.0,12.0,-10.0,0.0,9.52,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_fp16_length_L16_r1
Meta-Llama-3.1-8B-Instruct,fp16,16,2,199.0,0.85,287.0,12.0,-10.0,0.0,9.52,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_fp16_length_L16_r2
Meta-Llama-3.1-8B-Instruct,fp16,16,3,235.0,0.845,444.0,-8.0,-12.0,0.0,9.52,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_fp16_length_L16_r3
Meta-Llama-3.1-8B-Instruct,fp16,16,4,163.0,0.915,390.0,10.0,-12.0,0.0,9.52,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_fp16_length_L16_r4
Meta-Llama-3.1-8B-Instruct,fp16,16,5,114.5,0.83,122.5,6.0,-12.0,0.0,9.52,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_fp16_length_L16_r5
Meta-Llama-3.1-8B-Instruct,int8,16,1,142.0,0.87,191.0,-10.0,-12.0,0.0,9.38,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w8a16_bnb_int8_length_L16_r1
Meta-Llama-3.1-8B-Instruct,int8,16,2,163.0,0.865,298.5,8.0,-10.0,0.0,9.38,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w8a16_bnb_int8_length_L16_r2
Meta-Llama-3.1-8B-Instruct,int8,16,3,119.5,0.86,351.0,2.0,12.0,2.0,9.38,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w8a16_bnb_int8_length_L16_r3
Meta-Llama-3.1-8B-Instruct,int8,16,4,152.5,0.925,319.0,12.0,-10.0,0.0,9.38,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w8a16_bnb_int8_length_L16_r4
Meta-Llama-3.1-8B-Instruct,int8,16,5,123.5,0.85,251.0,-10.0,-12.0,0.0,9.38,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w8a16_bnb_int8_length_L16_r5
Meta-Llama-3.1-8B-Instruct,nf4,16,1,189.0,0.855,232.5,10.0,-10.0,0.0,9.24,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w4a16_bnb_nf4_length_L16_r1
Meta-Llama-3.1-8B-Instruct,nf4,16,2,227.0,0.88,299.0,12.0,-10.0,0.0,9.24,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w4a16_bnb_nf4_length_L16_r2
Meta-Llama-3.1-8B-Instruct,nf4,16,3,307.0,0.82,400.0,-6.0,-12.0,0.0,9.24,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w4a16_bnb_nf4_length_L16_r3
Meta-Llama-3.1-8B-Instruct,nf4,16,4,113.0,0.855,181.0,6.0,-8.0,2.0,9.24,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w4a16_bnb_nf4_length_L16_r4
Meta-Llama-3.1-8B-Instruct,nf4,16,5,108.5,0.8,133.5,8.0,-12.0,0.0,9.24,v2.3.1,gsm8k,Meta-Llama-3-1-8B-Instruct_w4a16_bnb_nf4_length_L16_r5
Mistral-7B-Instruct-v0.3,fp16,16,1,109.5,0.56,262.0,5.0,-7.0,0.0,10.24,v2.3,gsm8k,Mistral-7B-Instruct-v0-3_fp16_length_L16_r1
Mistral-7B-Instruct-v0.3,fp16,16,2,127.0,0.555,380.5,4.0,-7.0,0.0,10.24,v2.3,gsm8k,Mistral-7B-Instruct-v0-3_fp16_length_L16_r2
