model,scheme,layer,resample,alpha,length_median,length_fail,gsm8k,gsm8k_fail,residual_norm,parser
gemma-2-9b-it,fp16,21,1,-300.0,0.0,1.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-250.0,119.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-200.0,112.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-160.0,108.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-120.0,117.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-100.0,121.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-80.0,119.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-60.0,122.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-40.0,120.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,-20.0,124.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,0.0,122.5,0.0,0.815,0.08,405.96,v2.3
gemma-2-9b-it,fp16,21,1,20.0,127.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,40.0,133.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,60.0,136.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,80.0,133.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,100.0,128.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,120.0,116.5,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,160.0,131.0,0.0,,,405.96,v2.3
gemma-2-9b-it,fp16,21,1,200.0,183.0,0.2,0.2,0.61,405.96,v2.3
gemma-2-9b-it,fp16,21,1,250.0,188.0,0.6,0.0,1.0,405.96,v2.3
gemma-2-9b-it,fp16,21,1,300.0,0.0,1.0,0.0,1.0,405.96,v2.3
gemma-2-9b-it,fp16,21,2,-300.0,0.0,1.0,0.0,1.0,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-250.0,121.0,0.0,0.045,0.81,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-200.0,106.0,0.4,0.285,0.195,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-160.0,136.0,0.0,0.68,0.1,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-120.0,136.0,0.0,0.775,0.065,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-100.0,136.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-80.0,135.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-60.0,125.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-40.0,132.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,-20.0,147.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,0.0,153.5,0.0,0.81,0.1,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,20.0,145.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,40.0,153.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,60.0,164.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,80.0,161.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,100.0,175.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,120.0,253.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,160.0,148.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,200.0,149.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,250.0,191.0,0.4,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,2,300.0,224.0,0.5,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-300.0,0.0,1.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-250.0,122.0,0.4,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-200.0,88.0,0.1,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-160.0,105.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-120.0,130.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-100.0,132.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-80.0,120.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-60.0,129.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-40.0,129.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,-20.0,134.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,0.0,161.0,0.0,0.825,0.075,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,20.0,152.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,40.0,136.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,60.0,135.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,80.0,115.0,0.0,0.855,0.05,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,100.0,122.0,0.0,0.825,0.055,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,120.0,103.5,0.0,0.815,0.055,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,160.0,100.5,0.0,0.7,0.08,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,200.0,99.0,0.0,0.375,0.41,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,250.0,198.0,0.9,0.0,0.96,405.96,v2.3.1
gemma-2-9b-it,fp16,21,3,300.0,0.0,1.0,0.0,1.0,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-300.0,0.0,1.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-250.0,120.0,0.4,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-200.0,90.0,0.4,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-160.0,88.0,0.4,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-120.0,122.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-100.0,124.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-80.0,121.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-60.0,129.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-40.0,135.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,-20.0,150.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,0.0,146.0,0.0,0.85,0.04,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,20.0,142.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,40.0,149.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,60.0,138.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,80.0,144.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,100.0,127.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,120.0,145.0,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,160.0,116.5,0.0,0.68,0.155,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,200.0,135.5,0.0,0.23,0.55,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,250.0,154.0,0.6,0.015,0.985,405.96,v2.3.1
gemma-2-9b-it,fp16,21,4,300.0,0.0,1.0,0.0,1.0,405.96,v2.3.1
gemma-2-9b-it,fp16,21,5,-300.0,70.0,0.8,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,5,-250.0,87.0,0.1,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,5,-200.0,97.5,0.0,,,405.96,v2.3.1
gemma-2-9b-it,fp16,21,5,-160.0,90.0,0.0,,,405.96,v2.3.1
